created_at,tweet_id,tweet_text,screen_name,name,account_creation_date,urls
2021-04-16 10:26:18,1383003812017897474,@ruillebuille @ActingTheGom @Troscad_Dbarna @BrianDBourke 😂 😂 😂,mags_burke7,margaret burke🏴☠️,Fri Aug 22 18:30:10 +0000 2014,[]
2021-04-16 10:24:49,1383003438280245249,"RT @ActingTheGom: New Zealand - 26 deaths
Ireland - 4820

Two small island nations with the same population, one leader took decisive actio…",MalleyMiguel23,Miguel O' Malley,Wed Nov 07 20:29:40 +0000 2018,[]
2021-04-16 10:24:20,1383003318197309441,"@ActingTheGom But people argue that they haven't been that bad, how do you even discuss it with someone of that mindset",JoeBoyrmd,Joe Boyce,Sun Mar 08 20:54:13 +0000 2020,[]
2021-04-16 10:24:18,1383003309200572417,@ActingTheGom @BrianDBourke 💚,Becky46832359,Becky C 💙,Sat Oct 03 09:02:40 +0000 2020,[]
2021-04-16 10:23:31,1383003111225180161,"RT @ActingTheGom: New Zealand - 26 deaths
Ireland - 4820

Two small island nations with the same population, one leader took decisive actio…",BrianDBourke,Loki De Búrca,Fri Jun 29 08:50:25 +0000 2012,[]
2021-04-16 10:23:23,1383003080262836228,"RT @ActingTheGom: New Zealand - 26 deaths
Ireland - 4820

Two small island nations with the same population, one leader took decisive actio…",lawblaw2020,Bob_Lawblaw,Mon Aug 10 10:37:45 +0000 2020,[]
2021-04-16 10:23:12,1383003033387290625,"RT @ActingTheGom: Please stop whining about the minor inconvenience MHQ is, death is a slightly larger one, last time I checked.",flahertycarmel1,Carmel🏴‍☠️,Thu Dec 08 19:55:46 +0000 2016,[]
2021-04-16 10:20:51,1383002441604591616,@ActingTheGom They had plenty of support from the self serving in our community.,celticgibson,CelticGibson,Mon Apr 07 01:57:45 +0000 2008,[]
2021-04-16 10:20:39,1383002391071580160,"RT @ActingTheGom: New Zealand - 26 deaths
Ireland - 4820

Two small island nations with the same population, one leader took decisive actio…",TrumanKelly,Ned Kelly 🏴‍☠️,Wed Jul 25 19:37:12 +0000 2012,[]
2021-04-16 10:20:34,1383002368074219523,"RT @ActingTheGom: New Zealand - 26 deaths
Ireland - 4820

Two small island nations with the same population, one leader took decisive actio…",HarriettMooreB2,Harriett Moon Beam,Wed May 25 21:13:52 +0000 2016,[]
2021-04-16 10:19:55,1383002204668329987,"RT @ActingTheGom: New Zealand - 26 deaths
Ireland - 4820

Two small island nations with the same population, one leader took decisive actio…",angiebeeb,Angie B 🏴‍☠️,Fri Feb 04 22:11:51 +0000 2011,[]
2021-04-16 10:19:16,1383002041237258242,"RT @ActingTheGom: New Zealand - 26 deaths
Ireland - 4820

Two small island nations with the same population, one leader took decisive actio…",surgeryhead,Surgeryhead,Tue Oct 04 09:21:54 +0000 2011,[]
